Unnamed: 0,Structure,σ(RT)(S cm-1),Ea (eV),space group,ICSD Entry,DOI
695,Li6.2La3Zr1.2Sb0.8O12,4.50E-04,0.37,230.0,,10.1039/c3cp50991e; 10.1039/c3cp50991e
696,Li6La3ZrSbO12,2.60E-04,0.38,230.0,,10.1039/c3cp50991e; 10.1039/c3cp50991e
697,Li6.5La3Zr1.75Te0.25O12-0.07Al,4.00E-04,0.33,230.0,,
698,Li6.65La2.75Ba0.25Zr1.4Ta0.5Nb0.1O12,5.27E-04,0.26,230.0,,10.1021/acs.inorgchem.5b00184
699,Li6.4La3Zr1.4Ta0.6O12,7.24E-04,0.24,230.0,,10.1021/acs.inorgchem.5b00184
700,Li6.4La3Zr1.4Ta0.5Nb0.1O12,4.44E-04,0.27,230.0,,10.1021/acs.inorgchem.5b00184
701,Li6.4La3Zr1.4Ta0.4Nb0.2O12,4.55E-04,0.28,230.0,,10.1021/acs.inorgchem.5b00184
702,Li6.4La3Zr1.4Ta0.3Nb0.3O12,6.06E-04,0.26,230.0,,10.1021/acs.inorgchem.5b00184
703,Li7La3Zr2O12,1.74E-04,0.26,230.0,,
704,Li3Nd3Te2O12,<1E-10,1.22,230.0,,10.1021/cm060992t
705,Li7.131La3Zr2O12Al0.244,7.73E-05,,230.0,,
706,Li6.949La3Zr2O12Al0.262,2.25E-04,,230.0,,10.1016/j.ssi.2014.07.004
707,Li6.835La3Zr2O12Al0.231,2.20E-04,,230.0,,
708,Li6.660La3Zr2O12Al0.258,1.51E-04,,230.0,,10.1016/j.ssi.2014.07.004
709,Li6.75La3Zr1.75Ta0.25O12,4.10E-04,0.42,230.0,,10.1016/j.ssi.2013.09.008
710,Li6.5La3Zr1.5Ta0.5O12,6.10E-04,0.4,230.0,,10.1016/j.ssi.2013.09.008
711,Li6La3ZrTaO12,2.10E-04,0.42,230.0,,10.1016/j.ssi.2013.09.008
712,Li3Gd3Te2O12,<1E-10,,230.0,,10.1016/j.jssc.2010.12.021
713,Li3Tb3Te2O12,<1E-10,,230.0,,10.1016/j.jssc.2010.12.021
714,Li3Er3Te2O12,<1E-10,,230.0,,10.1016/j.jssc.2010.12.021
715,Li3Lu3Te2O12,<1E10,,230.0,,10.1016/j.jssc.2010.12.021
716,Li2S*P2S5,3.20E-03,,,,10.1002/adma.200401286; 10.1016/j.ssi.2006.04.017; 10.1149/1.2056487
717,0.7Li2S-0.3P2S5,5.40E-05,,,,10.1002/adma.200401286
718,Li3.8Ge0.8P0.2S4,1.75E-06,0.466,,,10.1149/1.1379028
719,Li3.6Ge0.6P0.4S4,1.74E-04,0.339,,,10.1149/1.1379028
720,Li3.4Ge0.4P0.6S4,6.53E-04,0.275,,,10.1149/1.1379028
721,Li3.35Ge0.35P0.65S4,1.53E-03,0.229,,,
722,Li3.3Ge0.3P0.7S4,1.76E-03,0.221,,,10.1149/1.1379028
723,Li3.2Ge0.2P0.8S4,5.57E-04,0.275,,,10.1149/1.1379028
724,Li2.9Ca0.05InBr6,2.16E-04,,,,10.1016/s0167-2738(00)00491-4
725,Li2.86Ca0.07InBr6,4.04E-04,,,,10.1016/s0167-2738(00)00491-4
726,Li2.8Ca0.1InBr6,3.00E-04,,,,10.1016/s0167-2738(00)00491-4
727,Li2.7Ca0.15InBr6,6.97E-05,,,,10.1016/s0167-2738(00)00491-4
728,Li3.9Zn0.05GeS4,2.72E-07,0.517,,,10.1016/s0167-2738(00)00277-0
729,Li3.8Zn0.1GeS4,9.95E-08,0.545,,,10.1016/s0167-2738(00)00277-0
730,Li3.6Zn0.2GeS4,5.90E-08,0.539,,,10.1016/s0167-2738(00)00277-0
731,Li2GeS3,9.70E-09,,,,
